cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FERTIN,2017-2020 Ferritin P_FERTIN Doc P_FERTIN Data [XPT - 282 KB] July 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FERTIN.xpt,P_FERTIN.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FETIB,2017-2020 Iron Status - Serum P_FETIB Doc P_FETIB Data [XPT - 733.9 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FETIB.xpt,P_FETIB.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FOLATE,2017-2020 Folate - RBC P_FOLATE Doc P_FOLATE Data [XPT - 263.4 KB] December 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FOLATE.xpt,P_FOLATE.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FOLFMS,2017-2020 Folate Forms - Total & Individual - Serum P_FOLFMS Doc P_FOLFMS Data [XPT - 1 MB] December 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FOLFMS.xpt,P_FOLFMS.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FR,2017-2020 Flame Retardants - Urine P_FR Doc P_FR Data [XPT - 541.8 KB] May 2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FR.xpt,P_FR.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_GHB,2017-2020 Glycohemoglobin P_GHB Doc P_GHB Data [XPT - 163.7 KB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_GHB.xpt,P_GHB.xpt,True
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_GLU,2017-2020 Plasma Fasting Glucose P_GLU Doc P_GLU Data [XPT - 160.3 KB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_GLU.xpt,P_GLU.xpt,True
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HDL,2017-2020 Cholesterol - High - Density Lipoprotein (HDL) P_HDL Doc P_HDL Data [XPT - 287.1 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HDL.xpt,P_HDL.xpt,True
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HEPA,2017-2020 Hepatitis A P_HEPA Doc P_HEPA Data [XPT - 210.6 KB] August 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HEPA.xpt,P_HEPA.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HEPBD,"2017-2020 Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody P_HEPBD Doc P_HEPBD Data [XPT - 477.9 KB] Updated January 2026",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HEPBD.xpt,P_HEPBD.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HEPB_S,2017-2020 Hepatitis B Surface Antibody P_HEPB_S Doc P_HEPB_S Data [XPT - 210.6 KB] August 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HEPB_S.xpt,P_HEPB_S.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HEPC,"2017-2020 Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype P_HEPC Doc P_HEPC Data [XPT - 382.5 KB] June 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HEPC.xpt,P_HEPC.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HEPE,2017-2020 Hepatitis E: IgG & IgM Antibodies P_HEPE Doc P_HEPE Data [XPT - 287.1 KB] August 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HEPE.xpt,P_HEPE.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_HSCRP,2017-2020 High-Sensitivity C-Reactive Protein P_HSCRP Doc P_HSCRP Data [XPT - 324 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HSCRP.xpt,P_HSCRP.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_IHGEM,"2017-2020 Inorganic, Ethyl and Methyl - Blood P_IHGEM Doc P_IHGEM Data [XPT - 1.1 MB] November 2021",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_IHGEM.xpt,P_IHGEM.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_INS,2017-2020 Insulin P_INS Doc P_INS Data [XPT - 200.2 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_INS.xpt,P_INS.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_OPD,2017-2020 Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine P_OPD Doc P_OPD Data [XPT - 541.8 KB] November 2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_OPD.xpt,P_OPD.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_PBCD,"2017-2020 Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood P_PBCD Doc P_PBCD Data [XPT - 1.7 MB] November 2021",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_PBCD.xpt,P_PBCD.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_PERNT,"2017-2020 Perchlorate, Nitrate & Thiocyanate - Urine P_PERNT Doc P_PERNT Data [XPT - 307.4 KB] September 2023",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_PERNT.xpt,P_PERNT.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_PFAS,2017-2020 Perfluoroalkyl and Polyfluoroalkyl Substances P_PFAS Doc P_PFAS Data [XPT - 544.1 KB] May 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_PFAS.xpt,P_PFAS.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_SSAGP,2017-2020 Alpha-1-Acid Glycoprotein - Serum (Surplus) P_SSAGP Doc P_SSAGP Data [XPT - 90.8 KB] June 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SSAGP.xpt,P_SSAGP.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_SSFR,2017-2020 Flame Retardants - Urine (Surplus) P_SSFR Doc P_SSFR Data [XPT - 232.7 KB] January 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SSFR.xpt,P_SSFR.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_SSMMRV,"2017-2020 Measles, Mumps, Rubella, & Varicella – Serum (Surplus) P_SSMMRV Doc P_SSMMRV Data [XPT - 1.1 MB] December 2025",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SSMMRV.xpt,P_SSMMRV.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_SSUVCM,2017-2020 Volatile Organic Compound (VOC) Metabolites: Benzene and Methylating Agent Biomarkers - Urine (Surplus) P_SSUVCM Doc P_SSUVCM Data [XPT - 230.8 KB] January 2026,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SSUVCM.xpt,P_SSUVCM.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_TCHOL,2017-2020 Cholesterol - Total P_TCHOL Doc P_TCHOL Data [XPT - 287.1 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TCHOL.xpt,P_TCHOL.xpt,True
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_TFR,2017-2020 Transferrin Receptor P_TFR Doc P_TFR Data [XPT - 108.3 KB] July 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TFR.xpt,P_TFR.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_TRIGLY,2017-2020 Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides P_TRIGLY Doc P_TRIGLY Data [XPT - 399.8 KB] October 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TRIGLY.xpt,P_TRIGLY.xpt,True
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_TST,2017-2020 Sex Steroid Hormone Panel - Serum P_TST Doc P_TST Data [XPT - 2.7 MB] December 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TST.xpt,P_TST.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UAS,2017-2020 Arsenics - Speciated - Urine P_UAS Doc P_UAS Data [XPT - 537.5 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UAS.xpt,P_UAS.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UCFLOW,2017-2020 Urine Flow Rate P_UCFLOW Doc P_UCFLOW Data [XPT - 1019.8 KB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UCFLOW.xpt,P_UCFLOW.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UCM,2017-2020 Chromium - Urine P_UCM Doc P_UCM Data [XPT - 154.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UCM.xpt,P_UCM.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UCPREG,2017-2020 Urine Pregnancy Test P_UCPREG Doc P_UCPREG Data [XPT - 28.4 KB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UCPREG.xpt,P_UCPREG.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UHG,2017-2020 Mercury: Inorganic - Urine P_UHG Doc P_UHG Data [XPT - 154.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UHG.xpt,P_UHG.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UIO,2017-2020 Iodine - Urine P_UIO Doc P_UIO Data [XPT - 154.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UIO.xpt,P_UIO.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UM,2017-2020 Metals - Urine P_UM Doc P_UM Data [XPT - 920.9 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UM.xpt,P_UM.xpt,False
