cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download,local_path,download_status,file_size_bytes
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_DPQ,2017-2020 Mental Health - Depression Screener P_DPQ Doc P_DPQ Data [XPT - 772.7 KB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DPQ.xpt,P_DPQ.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_DPQ.xpt,downloaded,791280
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_MCQ,2017-2020 Medical Conditions P_MCQ Doc P_MCQ Data [XPT - 7.2 MB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_MCQ.xpt,P_MCQ.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_MCQ.xpt,downloaded,7562560
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_PAQ,2017-2020 Physical Activity P_PAQ Doc P_PAQ Data [XPT - 1.3 MB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_PAQ.xpt,P_PAQ.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_PAQ.xpt,downloaded,1321440
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_PAQY,2017-2020 Physical Activity - Youth P_PAQY Doc P_PAQY Data [XPT - 76.2 KB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_PAQY.xpt,P_PAQY.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_PAQY.xpt,downloaded,78080
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_RXQ_RX,2017-2020 Prescription Medications P_RXQ_RX Doc P_RXQ_RX Data [XPT - 15.4 MB] September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_RXQ_RX.xpt,P_RXQ_RX.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_RXQ_RX.xpt,downloaded,16154000
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_SMQ,2017-2020 Smoking - Cigarette Use P_SMQ Doc P_SMQ Data [XPT - 1.4 MB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SMQ.xpt,P_SMQ.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_SMQ.xpt,downloaded,1428560
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_SMQFAM,2017-2020 Smoking - Household Smokers P_SMQFAM Doc P_SMQFAM Data [XPT - 365.9 KB] December 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SMQFAM.xpt,P_SMQFAM.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_SMQFAM.xpt,downloaded,374640
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_SMQRTU,2017-2020 Smoking - Recent Tobacco Use P_SMQRTU Doc P_SMQRTU Data [XPT - 2 MB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SMQRTU.xpt,P_SMQRTU.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_SMQRTU.xpt,downloaded,2086080
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_SMQSHS,2017-2020 Smoking - Secondhand Smoke Exposure P_SMQSHS Doc P_SMQSHS Data [XPT - 1.8 MB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_SMQSHS.xpt,P_SMQSHS.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\P_SMQSHS.xpt,downloaded,1870080
2017-March_2020_PrePandemic,2017-2020,Questionnaire,RXQ_DRUG,1988-2020 Prescription Medications - Drug Information RXQ_DRUG Doc RXQ_DRUG Data [XPT - 3.2 MB] Updated September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1988/DataFiles/RXQ_DRUG.xpt,RXQ_DRUG.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Questionnaire\RXQ_DRUG.xpt,downloaded,3372240
